,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
0,000905.SH,20181224,4274.7218,4227.354,4276.9745,4215.0226,4231.144,43.5778,1.0299,41841941.0,32706121.6
1,000905.SH,20181221,4231.144,4246.4287,4260.289000000001,4204.486,4259.7614,-28.6174,-0.6718,47110425.0,35374801.4
2,000905.SH,20181220,4259.7614,4240.3729,4274.0116,4225.1345,4247.8991,11.8623,0.2793,46967852.0,34730999.574
3,000905.SH,20181219,4247.8991,4311.2792,4315.1081,4245.1504,4307.2675,-59.3684,-1.3783,46260174.0,33854346.7
4,000905.SH,20181218,4307.2675,4308.0478,4339.4043,4266.4517,4330.6465,-23.379,-0.5399,51303478.0,37327896.9
5,000905.SH,20181217,4330.6465,4322.5935,4341.2033,4285.2144,4337.1025,-6.456,-0.1489,51502815.0,38561891.4
6,000905.SH,20181214,4337.1025,4436.0023,4439.0458,4331.3785,4443.1571,-106.0546,-2.3869,65786546.0,47335305.4
7,000905.SH,20181213,4443.1572,4405.0861,4471.2565,4378.4604,4393.3239,49.8333,1.1343,63613910.0,47775555.1
8,000905.SH,20181212,4393.3240000000005,4408.9142,4417.6041,4381.3236,4395.5702,-2.2462,-0.0511,48093612.0,35826068.8
9,000905.SH,20181211,4395.5702,4373.0273,4398.063,4365.1182,4359.3122,36.258,0.8317,50430781.0,37194242.2
10,000905.SH,20181210,4359.3122,4381.3803,4396.4047,4350.2267,4410.9593,-51.6471,-1.1709,53940348.0,40103184.7
11,000905.SH,20181207,4410.9593,4419.6086,4432.3298,4397.4243,4411.0883,-0.129,-0.0029,51755054.0,41253201.5
12,000905.SH,20181206,4411.0884,4476.8102,4483.3157,4405.8361,4502.7021,-91.6137,-2.0346,66047596.0,52051360.4
13,000905.SH,20181205,4502.7021,4456.1979,4532.2794,4445.9731,4536.2104,-33.5083,-0.7387,74275973.0,55251925.5
14,000905.SH,20181204,4536.2104,4506.2466,4538.423,4492.0568,4515.1735,21.0369,0.4659,76280213.0,56315559.8
15,000905.SH,20181203,4515.1735,4483.6634,4536.8317,4460.3878,4376.6511,138.5224,3.165,96265752.0,72617444.6
16,000905.SH,20181130,4376.6511,4334.0405,4385.0031,4291.8111,4345.7029999999995,30.9481,0.7122,63848789.0,44026264.2
17,000905.SH,20181129,4345.7029999999995,4462.7925,4473.3074,4344.9003,4441.8569,-96.1539,-2.1647,77102481.0,52609677.0
18,000905.SH,20181128,4441.8569,4389.8322,4441.8569,4333.0553,4387.6515,54.2054,1.2354,72507931.0,50581746.7
19,000905.SH,20181127,4387.6515,4393.2898,4416.357,4361.0232,4367.4619,20.1896,0.4623,62352710.0,43832226.111
20,000905.SH,20181126,4367.4619,4371.4238,4408.1135,4347.7472,4374.7644,-7.3025,-0.1669,68584699.0,45641649.8
21,000905.SH,20181123,4374.7644,4542.1102,4547.5147,4365.3486,4551.3264,-176.562,-3.8794,92074828.0,64245132.8
22,000905.SH,20181122,4551.3264,4562.6424,4583.3734,4528.2409,4554.6746,-3.3482,-0.0735,75274993.0,54157291.8
23,000905.SH,20181121,4554.6747,4483.378,4564.5342,4476.4164,4537.4493,17.2254,0.3796,90156627.0,65298600.6
24,000905.SH,20181120,4537.4493,4629.1263,4645.9,4535.8739,4670.737,-133.2877,-2.8537,103124225.0,76300239.2
25,000905.SH,20181119,4670.737,4660.475,4677.9674,4612.4837,4659.0964,11.6406,0.2498,111015106.0,82549163.3
26,000905.SH,20181116,4659.0965,4625.0038,4691.5609,4609.8319,4619.814,39.2825,0.8503,110671824.0,82381068.9
